image_path,employee_code,classification,risk_score,sensitive_data,keywords,text,anomaly_status,risk_level,Text,Employee,Timestamp
C:\Users\bhara\OneDrive\Desktop\AI-Powered-Employee-Monitoring-and-Security-System\employee-ocr-system\screenshots\media\screenshots\soniya_bhara\2026-04-27\rec_soniya_bhara_1777300785.jpg,2026-04-27,Work,28,ip_address,"download,vpn",CEO_SERVER X F >Downloads > ceo > CEO_SERVER > CEO_SERVER > Search CEO SERVER Q New C\Users\bhara\Downloads\ce X Preview Applying a OK AHon Applying a auth.0005_alter_user_last_login_null... OK Applying auth.0006_require_contenttypes_0002... OK Gall Applying a OK OK Des Applying a auth.0011_update_p,normal,medium,CEO_SERVER X F >Downloads > ceo > CEO_SERVER > CEO_SERVER > Search CEO SERVER Q New C\Users\bhara\Downloads\ce X Preview Applying a OK AHon Applying a auth.0005_alter_user_last_login_null... OK Applying auth.0006_require_contenttypes_0002... OK Gall Applying a OK OK Des Applying a auth.0011_update_p,soniya_bhara,2026-04-27 14:39:45
C:\Users\bhara\OneDrive\Desktop\AI-Powered-Employee-Monitoring-and-Security-System\employee-ocr-system\screenshots\media\screenshots\soniya_bhara\2026-04-27\rec_soniya_bhara_1777300786.jpg,2026-04-27,Work,28,ip_address,"download,vpn",CEO_SERVER X F >Downloads > ceo > CEO_SERVER > CEO_SERVER > Search CEO SERVER Q New C\Users\bhara\Downloads\ce X Preview Applying a AHon Applying a auth.0006_require_contenttypes_0002... OK Applying auth.ooo7_alter_validators_add_error_messages.. Gall OK OK Applying auth.ooo9_alter_user_last_name_ma,normal,medium,CEO_SERVER X F >Downloads > ceo > CEO_SERVER > CEO_SERVER > Search CEO SERVER Q New C\Users\bhara\Downloads\ce X Preview Applying a AHon Applying a auth.0006_require_contenttypes_0002... OK Applying auth.ooo7_alter_validators_add_error_messages.. Gall OK OK Applying auth.ooo9_alter_user_last_name_ma,soniya_bhara,2026-04-27 14:39:46
C:\Users\bhara\OneDrive\Desktop\AI-Powered-Employee-Monitoring-and-Security-System\employee-ocr-system\screenshots\media\screenshots\soniya_bhara\2026-04-27\rec_soniya_bhara_1777300786_CpX88Au.jpg,2026-04-27,Work,24,ip_address,download,CEO_SERVER F >Downloads > ceo > CEO_SERVER > CEO_SERVER > Search CEO SERVER Q New C\Users\bhara\Downloads\ce X Preview Applying a AHon Applying a auth.0009_alter_user_last_name_max_length... OK Applying auth.0010_alter_group_name_max_length.. Gall OK OK OK Applying monitoring.0oo1_initial... OK Des ,normal,low,CEO_SERVER F >Downloads > ceo > CEO_SERVER > CEO_SERVER > Search CEO SERVER Q New C\Users\bhara\Downloads\ce X Preview Applying a AHon Applying a auth.0009_alter_user_last_name_max_length... OK Applying auth.0010_alter_group_name_max_length.. Gall OK OK OK Applying monitoring.0oo1_initial... OK Des,soniya_bhara,2026-04-27 14:39:46
C:\Users\bhara\OneDrive\Desktop\AI-Powered-Employee-Monitoring-and-Security-System\employee-ocr-system\screenshots\media\screenshots\soniya_bhara\2026-04-27\rec_soniya_bhara_1777300786_IxJbSvA.jpg,2026-04-27,Work,24,ip_address,download,CEO_SERVER X F >Downloads > ceo > CEO_SERVER > CEO_SERVER > Search CEO SERVER Q New C\Users\bhara\Downloads\ce X Preview Applying auth.0010_alter_group_name_max_length... OK AHon Applying a auth.0011_update_proxy_permissions...OK Applying auth.0012_alter_user_first_name_max_length... Gall OK Applyin,normal,low,CEO_SERVER X F >Downloads > ceo > CEO_SERVER > CEO_SERVER > Search CEO SERVER Q New C\Users\bhara\Downloads\ce X Preview Applying auth.0010_alter_group_name_max_length... OK AHon Applying a auth.0011_update_proxy_permissions...OK Applying auth.0012_alter_user_first_name_max_length... Gall OK Applyin,soniya_bhara,2026-04-27 14:39:46
C:\Users\bhara\OneDrive\Desktop\AI-Powered-Employee-Monitoring-and-Security-System\employee-ocr-system\screenshots\media\screenshots\soniya_bhara\2026-04-27\rec_soniya_bhara_1777300788.jpg,2026-04-27,Suspicious,32,ip_address,"blocked,download,firewall",CEO_SERVER >Downloads>ceOCEOSERVER>CEO_SERVER Search CEO_SERVER New C\Users\bhara\Downloads\ceX Preview Applying OK Hon Applying monitoring.oool_initial...OK Applying a admin.0o01_initial...OK Gall Applying a Applying Windows Security Applying monitoring.0o02_clipboardlog_filelog Des Applying monito,normal,medium,CEO_SERVER >Downloads>ceOCEOSERVER>CEO_SERVER Search CEO_SERVER New C\Users\bhara\Downloads\ceX Preview Applying OK Hon Applying monitoring.oool_initial...OK Applying a admin.0o01_initial...OK Gall Applying a Applying Windows Security Applying monitoring.0o02_clipboardlog_filelog Des Applying monito,soniya_bhara,2026-04-27 14:39:48
C:\Users\bhara\OneDrive\Desktop\AI-Powered-Employee-Monitoring-and-Security-System\employee-ocr-system\screenshots\media\screenshots\soniya_bhara\2026-04-27\rec_soniya_bhara_1777300788_70ymWYa.jpg,2026-04-27,Suspicious,32,ip_address,"blocked,download,firewall",CEO_SERVER >Downloads>ceOCEOSERVER>CEO_SERVER Search CEO_SERVER New C\Users\bhara\Downloads\ce X Preview Applying admin.oool_initial.. OK Hon Applying admin.0oo2_Logentry_remove_auto_add... OK Applying a admin.0oo3_Logentry_add_action_flag_choices. Gall OK Applying monitoring.00o2_clipboardLog_filel,normal,medium,CEO_SERVER >Downloads>ceOCEOSERVER>CEO_SERVER Search CEO_SERVER New C\Users\bhara\Downloads\ce X Preview Applying admin.oool_initial.. OK Hon Applying admin.0oo2_Logentry_remove_auto_add... OK Applying a admin.0oo3_Logentry_add_action_flag_choices. Gall OK Applying monitoring.00o2_clipboardLog_filel,soniya_bhara,2026-04-27 14:39:48
C:\Users\bhara\OneDrive\Desktop\AI-Powered-Employee-Monitoring-and-Security-System\employee-ocr-system\screenshots\media\screenshots\soniya_bhara\2026-04-27\rec_soniya_bhara_1777300788_yfmDzw6.jpg,2026-04-27,Suspicious,32,ip_address,"blocked,download,firewall",CEO_SERVER >Downloads>ceOCEOSERVER>CEO_SERVER Search CEO_SERVER New C\Users\bhara\Downloads\ceX Preview Applying admin.0oo3_logentry_add_action_flag_choices...OK Hon Applying monitoring.ooo2_clipboardlog_filelog_printlog_usblog...OK Applying n monitoring.ooo3_add_application_activity.. OK Gall Apply,normal,medium,CEO_SERVER >Downloads>ceOCEOSERVER>CEO_SERVER Search CEO_SERVER New C\Users\bhara\Downloads\ceX Preview Applying admin.0oo3_logentry_add_action_flag_choices...OK Hon Applying monitoring.ooo2_clipboardlog_filelog_printlog_usblog...OK Applying n monitoring.ooo3_add_application_activity.. OK Gall Apply,soniya_bhara,2026-04-27 14:39:48
C:\Users\bhara\OneDrive\Desktop\AI-Powered-Employee-Monitoring-and-Security-System\employee-ocr-system\screenshots\media\screenshots\soniya_bhara\2026-04-27\rec_soniya_bhara_1777300789.jpg,2026-04-27,Suspicious,32,ip_address,"blocked,download,firewall",CEO_SERVER >Downloads>ceOCEOSERVER>CEO_SERVER Search CEO_SERVER New C\Users\bhara\Downloads\ce Preview Hon Applying monitoring.0oo4_alter_clipboardlog_employee_id_and_more... OK Applying n Gall Applying and_more Applying monitoring.00o7_printlog_status_pril Windows Security Applying Des Applying n D,normal,medium,CEO_SERVER >Downloads>ceOCEOSERVER>CEO_SERVER Search CEO_SERVER New C\Users\bhara\Downloads\ce Preview Hon Applying monitoring.0oo4_alter_clipboardlog_employee_id_and_more... OK Applying n Gall Applying and_more Applying monitoring.00o7_printlog_status_pril Windows Security Applying Des Applying n D,soniya_bhara,2026-04-27 14:39:49
C:\Users\bhara\OneDrive\Desktop\AI-Powered-Employee-Monitoring-and-Security-System\employee-ocr-system\screenshots\media\screenshots\soniya_bhara\2026-04-27\rec_soniya_bhara_1777300790.jpg,2026-04-27,Suspicious,32,ip_address,"blocked,download,firewall",CEO_SERVER >Downloads >ceO>CEO_SERVER>CEO_SERVER> Search CEO SERVER C\Users\bhara\Downloads\ceX 0 X Preview New AHon Applying monitoring.0oo5_alter_screenshot_employee_id_and_more... OK Gall Applying monitoring.0oo7_printlog_status_printlog_total_pages. OK Des tyeDo you want to allow public and priv,normal,medium,CEO_SERVER >Downloads >ceO>CEO_SERVER>CEO_SERVER> Search CEO SERVER C\Users\bhara\Downloads\ceX 0 X Preview New AHon Applying monitoring.0oo5_alter_screenshot_employee_id_and_more... OK Gall Applying monitoring.0oo7_printlog_status_printlog_total_pages. OK Des tyeDo you want to allow public and priv,soniya_bhara,2026-04-27 14:39:50
C:\Users\bhara\OneDrive\Desktop\AI-Powered-Employee-Monitoring-and-Security-System\employee-ocr-system\screenshots\media\screenshots\soniya_bhara\2026-04-27\rec_soniya_bhara_1777300797.jpg,2026-04-27,Suspicious,28,ip_address,"blocked,download",CEO_SERVER X F >Downloads > ceo > CEO_SERVER > CEO_SERVER > Search CEO SERVER Q C\Users\bhara\Downloads\ce 0 New X Preview OK AHon Applying monitoring.0o06_networksnapshot_bytes_recv_and_more... OK Applying monitoring.0oo7_printlog_status_printlog_total_pages... OK Gall Applying monitoring.ooo8_clip,normal,medium,CEO_SERVER X F >Downloads > ceo > CEO_SERVER > CEO_SERVER > Search CEO SERVER Q C\Users\bhara\Downloads\ce 0 New X Preview OK AHon Applying monitoring.0o06_networksnapshot_bytes_recv_and_more... OK Applying monitoring.0oo7_printlog_status_printlog_total_pages... OK Gall Applying monitoring.ooo8_clip,soniya_bhara,2026-04-27 14:39:57
